zipcode,male,white,median_age
61603,0.45,0.49,29.9
61604,0.47,0.66,37.8
61605,0.48,0.33,30.6
61606,0.51,0.73,21.8
61607,0.51,0.98,40.8
61610,0.48,0.97,40.6
61611,0.49,0.94,43
61614,0.48,0.80,40.9
61615,0.48,0.73,35.9
61616,0.49,0.87,38.4
61625,0.60,0.86,20.2
61701,0.48,0.80,33.8
61704,0.50,0.76,35.2
61705,0.48,0.86,36.1
61720,0.54,0.99,34.6
61721,0.56,0.99,33.8
61722,0.50,0.95,34.9
61723,0.45,0.95,39.1
61724,0.50,0.98,46.2
61725,0.51,0.96,44.9
61726,0.50,0.97,43.7
61727,0.50,0.95,41.7
61728,0.49,0.96,42.2
61729,0.50,0.99,44
61730,0.53,0.99,43.5
61731,0.44,1.00,44.4
61732,0.51,0.98,38.4
61733,0.51,0.90,40.2
61734,0.49,0.96,39
61735,0.49,0.98,43.2
61736,0.49,0.98,40.5
61737,0.45,0.99,37.2
61738,0.47,0.94,36.2
61739,0.50,0.99,40.4
61740,0.45,0.98,46.4
61741,0.49,0.98,31.4
61742,0.51,0.99,36.9
61743,0.50,1.00,51.2
61744,0.51,0.98,41.1
61745,0.50,0.95,38.2
61747,0.47,0.99,45.1
61748,0.48,0.99,49.2
61749,0.51,1.00,49.5
61750,0.54,1.00,35.8
61751,0.43,1.00,59.4
61752,0.50,0.98,41
61753,0.50,0.98,40.9
61754,0.48,0.99,44.3
61755,0.51,0.99,40.9
61756,0.52,0.92,42.2
61759,0.45,0.99,39.5
61760,0.48,0.98,39.7
61761,0.47,0.84,23.8
61764,0.56,0.88,41
61769,0.50,0.98,45.6
61770,0.48,0.99,43
61771,0.55,0.99,32.4
61772,0.58,1.00,48.2
61773,0.53,0.98,37.8
61774,0.50,0.87,38.4
61775,0.51,0.99,40.6
61776,0.46,0.99,41.5
61777,0.53,0.98,46.4
61778,0.51,0.99,48.2
61801,0.51,0.58,23
61802,0.47,0.74,37.1
61810,0.46,0.98,51.2
61811,0.55,0.98,36.5
61812,0.44,0.99,42.9
61813,0.51,0.94,43.2
61814,0.52,0.96,37.8
61815,0.43,0.96,43.6
61816,0.54,0.97,38.4
61817,0.52,1.00,37.2
61818,0.47,0.95,35.7
61820,0.53,0.67,22
61821,0.48,0.69,35
61822,0.49,0.70,37.8
61830,0.52,0.91,40.1
61831,0.56,0.84,60.4
61832,0.47,0.68,37.4
61833,0.42,0.98,49.6
61834,0.57,0.88,42.6
61839,0.53,0.96,42.9
61840,0.55,1.00,42.4
61841,0.49,0.99,45.4
61842,0.51,0.98,44.8
61843,0.51,0.99,41.9
61844,0.49,0.97,49.1
61845,0.41,1.00,41.9
61846,0.53,0.97,41.8
61847,0.49,0.96,44.1
61848,0.48,1.00,31.1
61849,0.48,0.98,44.2
61850,0.50,0.99,36.7
61851,0.47,0.99,44.9
61852,0.55,0.98,54.6
61853,0.49,0.95,38.3
61854,0.49,0.96,42.9
61855,0.55,1.00,34.2
61856,0.48,0.99,44.1
61857,0.51,1.00,37.8
61858,0.50,0.98,44.8
61859,0.51,0.99,41.6
61862,0.50,0.94,41.9
61863,0.50,0.98,53.3
61864,0.50,0.99,36.2
61865,0.54,0.97,37.8
61866,0.50,0.69,33.1
61870,0.52,0.98,41.4
61871,0.46,0.98,46.6
61872,0.50,1.00,44.3
61873,0.47,0.96,35.9
61874,0.47,0.73,31.8
61875,0.36,0.92,30.9
61876,0.44,1.00,47.1
61877,0.53,0.97,35.9
61878,0.50,0.96,45.4
61880,0.53,0.98,34.7
61882,0.53,0.97,44.5
61883,0.54,0.95,40.3
61884,0.52,0.99,49.1
61910,0.48,0.95,34.9
61911,0.50,0.98,31.3
61912,0.47,0.97,46.8
61913,0.50,0.98,46.7
61914,0.48,1.00,39.5
61917,0.49,0.98,35.8
61919,0.50,1.00,47.6
61920,0.48,0.89,25
61924,0.50,0.99,47.7
61925,0.52,1.00,45.4
61928,0.55,0.94,50.6
61929,0.56,0.99,42.2
61930,0.49,0.95,35.1
61931,0.50,1.00,42.7
61932,0.46,0.98,36.2
61933,0.49,0.99,44.3
61936,0.48,0.94,39.2
61937,0.52,0.98,38.7
61938,0.48,0.96,40
61940,0.47,0.96,41.9
61941,0.45,1.00,53.7
61942,0.48,0.96,43.4
61943,0.49,1.00,52.2
61944,0.49,0.99,44
61949,0.47,1.00,53.4
61951,0.48,0.99,41.6
61953,0.49,0.96,38.7
61955,0.52,1.00,40.4
61956,0.48,0.96,45.5
61957,0.53,0.99,36.8
62001,0.52,1.00,44.2
62002,0.48,0.74,39.4
62006,0.50,1.00,41.3
62009,0.50,0.97,37
62010,0.51,0.97,39.2
62011,0.49,0.98,57.5
62012,0.52,1.00,42.4
62013,0.50,0.99,43.5
62014,0.50,0.95,46.8
62015,0.39,0.96,50.7
62016,0.50,0.99,44.9
62017,0.44,0.95,52.9
62018,0.54,0.92,38.3
62019,0.41,0.99,56.2
62021,0.47,1.00,56.6
62022,0.55,1.00,46.7
62023,0.42,0.96,35.9
62024,0.50,0.97,44.1
62025,0.49,0.88,34.9
62027,0.50,1.00,54.9
62028,0.44,0.87,21
62030,0.38,1.00,30.1
62031,0.52,0.99,48.7
62032,0.37,0.97,48.4
62033,0.51,0.96,43.2
62034,0.48,0.85,36.2
62035,0.48,0.92,45.6
62036,0.50,1.00,57
62037,0.49,0.94,47
62040,0.50,0.91,40.6
62044,0.49,1.00,39.2
62045,0.47,0.99,49.2
62046,0.47,0.97,33.6
62047,0.51,0.99,46.9
62048,0.49,0.99,39.9
62049,0.69,0.73,38.1
62050,0.50,1.00,33.7
62051,0.48,1.00,44.4
62052,0.47,0.98,40.8
62053,0.56,0.99,37.3
62054,0.55,0.91,43.3
62056,0.45,0.98,43.8
62058,0.49,0.99,43.4
62059,0.34,0.01,25.3
62060,0.49,0.33,36.3
62061,0.54,0.99,41.1
62062,0.50,0.92,42.8
62063,0.51,0.99,44.4
62065,0.47,0.63,49.3
62067,0.48,0.97,46.7
62069,0.49,0.99,42.5
62070,0.30,0.63,79.4
62074,0.49,0.98,37.2
62075,0.38,0.98,41.3
62076,0.47,0.96,41.5
62077,0.47,1.00,35.6
62078,0.52,0.90,36.5
62079,0.46,1.00,32.8
62080,0.51,0.96,40.6
62081,0.52,0.99,38.8
62082,0.54,0.95,43.2
62083,0.65,0.70,44
62084,0.49,0.99,37.4
62085,0.47,0.95,45.5
62086,0.48,0.98,43.8
62087,0.50,0.96,32.1
62088,0.48,0.98,47.8
62089,0.46,1.00,40.8
62090,0.45,0.02,31.5
62091,0.46,1.00,56.9
62092,0.48,0.99,43.9
62093,0.55,0.98,35.3
62094,0.43,0.95,46
62095,0.46,0.97,40
62097,0.48,0.97,40.5
62098,0.29,1.00,70.7
62201,0.43,0.30,23.8
62203,0.46,0.05,43.8
62204,0.48,0.02,34.6
62205,0.48,0.01,42.8
62206,0.47,0.35,33.5
62207,0.46,0.02,32.7
62208,0.48,0.64,40.9
62214,0.50,0.99,42
62215,0.52,0.93,36
62216,0.51,0.98,37.3
62217,0.55,0.99,40.3
62218,0.55,1.00,42.8
62219,0.45,0.98,47.5
62220,0.47,0.77,36.4
62221,0.49,0.71,38.5
62223,0.47,0.77,42.4
62225,0.54,0.73,22.6
62226,0.49,0.71,39.2
62230,0.48,0.97,39.2
62231,0.49,0.94,40
62232,0.49,0.86,38.8
62233,0.64,0.77,39.3
62234,0.49,0.88,38.4
62236,0.48,0.97,42.1
62237,0.54,0.93,43.9
62238,0.43,1.00,39.8
62239,0.52,0.97,38.5
62240,0.48,0.91,38.1
62241,0.56,0.98,47.3
62242,0.48,0.99,47.7
62243,0.51,0.98,46.4
62244,0.49,1.00,45.4
62245,0.50,0.98,41.5
62246,0.52,0.86,37
62248,0.50,0.96,31.9
62249,0.49,0.98,38.7
62250,0.54,0.96,35.2
62253,0.46,0.99,46.3
62254,0.49,0.81,41.1
62255,0.53,0.92,41.7
62257,0.47,0.99,50.2
62258,0.49,0.91,39.8
62260,0.49,0.98,41.9
62261,0.39,1.00,37.9
62262,0.51,0.96,48.7
62263,0.49,0.98,42.1
62264,0.52,0.99,39.6
62265,0.50,0.93,39.8
62266,0.56,1.00,50.6
62268,0.53,1.00,49
62269,0.49,0.79,37.5
62271,0.50,0.98,44.5
62272,0.52,0.96,40.9
62273,0.44,0.86,34.7
62274,0.59,0.80,38.2
62275,0.50,0.99,45.6
62277,0.52,0.97,36.7
62278,0.50,0.97,40.4
62279,0.42,1.00,26.3
62280,0.60,1.00,51.7
62281,0.51,0.98,34.8
62282,0.51,0.98,40.9
62284,0.52,0.95,49.1
62285,0.45,0.96,42.1
62286,0.49,0.78,42.7
62288,0.47,0.99,39.3
62289,0.54,0.92,42.3
62292,0.51,0.99,46.9
62293,0.50,0.98,43
62294,0.48,0.94,37.2
62295,0.54,0.95,36.5
62297,0.56,1.00,56.6
62298,0.50,0.99,43.8
62301,0.47,0.89,38.7
62305,0.50,0.96,44.1
62311,0.55,0.99,45.5
62312,0.48,0.99,41.2
62313,0.50,1.00,45.6
62314,0.55,0.98,37.9
62316,0.60,0.97,31.1
62319,0.53,1.00,56.3
62320,0.54,0.97,45
62321,0.48,0.98,45.6
62323,0.61,0.97,51.4
62324,0.56,0.99,41.8
62325,0.59,0.96,37.5
62326,0.51,0.99,41.7
62330,0.46,0.96,46.5
62334,0.59,0.99,44.5
62336,0.58,1.00,31.3
62338,0.55,1.00,40
62339,0.44,0.98,46.5
62340,0.46,0.98,43.9
62341,0.47,0.98,46.1
62343,0.46,0.95,40.3
62344,0.45,1.00,55.4
62345,0.50,0.99,43.6
62346,0.54,0.99,45.1
62347,0.50,0.99,40.6
62348,0.34,1.00,33.8
62349,0.46,0.97,50
62351,0.51,0.99,45.2
62352,0.51,0.99,41.8
62353,0.67,0.76,36.8
62354,0.48,0.97,54.7
62355,0.54,0.98,48.3
62356,0.49,0.99,48.4
62357,0.48,0.99,27.6
62358,0.51,0.93,34.6
62359,0.50,1.00,29.5
62360,0.52,0.98,37.1
62361,0.53,0.96,36.2
62362,0.44,0.95,54.8
62363,0.51,0.96,44.2
62365,0.57,0.99,30.9
62366,0.47,0.94,35.9
62367,0.53,0.99,51.1
62370,0.52,1.00,52.8
62373,0.43,0.99,45.1
62374,0.48,0.95,52.2
62375,0.66,0.61,37.1
62376,0.46,1.00,43.9
62378,0.46,0.97,46.4
62379,0.51,0.97,43.5
62380,0.55,0.97,48.5
62401,0.49,0.97,39.3
62410,0.50,0.97,35.6
62411,0.51,0.99,42.2
62413,0.48,1.00,44.6
62414,0.56,1.00,40.7
62417,0.41,1.00,44.1
62418,0.51,0.99,43.8
62419,0.60,1.00,46.1
62420,0.47,0.98,43.7
62421,0.51,0.96,38.7
62422,0.52,0.97,43.4
62423,0.41,1.00,36.7
62424,0.52,0.99,40.2
62425,0.56,1.00,45.1
62426,0.48,0.97,41.8
62427,0.47,0.98,41.4
62428,0.50,0.99,43.6
62431,0.51,0.99,46.9
62432,0.56,0.99,46.6
62433,0.48,0.98,47.9
62434,0.52,0.98,56.9
62436,0.48,0.97,31.9
62438,0.44,1.00,27.8
62439,0.41,0.95,50.6
62440,0.50,0.98,36.3
62441,0.50,0.95,42.1
62442,0.48,0.99,47.1
62443,0.53,0.99,40.2
62444,0.48,0.99,41.1
62445,0.50,0.98,34
62446,0.45,0.99,44.7
62447,0.52,0.98,48.1
62448,0.49,0.97,43.5
62449,0.52,0.97,42.6
62450,0.48,0.97,42.4
62451,0.48,0.99,44.5
62452,0.53,0.99,40.2
62454,0.53,0.90,41.4
62458,0.50,0.99,44.5
62459,0.46,1.00,40.9
62460,0.41,1.00,38.1
62461,0.52,0.99,44.8
62462,0.48,0.99,37.6
62463,0.51,0.96,42
62465,0.52,0.99,35
62466,0.87,0.47,34.6
62467,0.52,0.99,37.4
62468,0.50,0.96,41.5
62469,0.48,1.00,48.1
62471,0.54,0.87,38.8
62473,0.49,0.98,34.9
62474,0.50,1.00,45.2
62475,0.50,0.96,58
62476,0.49,0.99,42.2
62477,0.53,0.99,43.8
62478,0.47,1.00,39.8
62479,0.52,0.99,37
62480,0.54,0.97,51.7
62481,0.43,0.99,40.3
62501,0.51,0.93,48.3
62510,0.50,0.95,36.9
62512,0.40,0.97,41.8
62513,0.48,0.99,36.8
62514,0.51,1.00,42.4
62515,0.49,0.93,50.2
62517,0.45,1.00,29.8
62518,0.54,0.88,39.1
62519,0.32,1.00,63.3
62520,0.48,0.99,47.6
62521,0.48,0.79,42.9
62522,0.49,0.72,35.7
62523,0.68,0.61,35.3
62526,0.46,0.73,39
62530,0.49,0.98,39.8
62531,0.51,0.98,44.3
62532,0.53,1.00,56.6
62533,0.40,0.99,53.4
62534,0.54,0.99,42.2
62535,0.52,0.85,44
62536,0.56,1.00,42.7
62537,0.58,1.00,59.4
62538,0.45,0.97,55
62539,0.48,0.96,34.7
62540,0.49,0.96,32.8
62541,0.58,1.00,52.3
62543,0.45,0.90,42.2
62544,0.52,0.95,43
62545,0.49,0.97,44.7
62546,0.46,1.00,38.2
62547,0.58,0.99,32.4
62548,0.48,0.97,53.1
62549,0.46,0.91,38.4
62550,0.51,0.98,43.4
62551,0.51,0.94,42.5
62553,0.53,1.00,43
62554,0.48,0.93,47.5
62555,0.55,1.00,34.8
62556,0.46,1.00,57.1
62557,0.48,0.98,46.3
62558,0.48,0.98,39.6
62560,0.37,0.97,48.3
62561,0.45,0.97,39.3
62563,0.49,0.97,43.7
62565,0.45,0.99,45.5
62567,0.48,0.99,40.6
62568,0.53,0.96,43.5
62570,0.53,0.91,42.7
62571,0.56,1.00,44.7
62572,0.43,0.97,46.6
62573,0.55,0.93,39.7
62601,0.54,0.99,52.2
62610,0.64,0.91,35.7
62611,0.48,0.97,45.3
62612,0.49,0.99,42.6
62613,0.48,0.97,38
62615,0.51,0.97,36.2
62617,0.50,0.99,42.8
62618,0.52,0.85,36.3
62621,0.51,1.00,41.1
62622,0.46,1.00,46
62624,0.52,0.99,48.5
62625,0.57,0.94,52.9
62626,0.48,0.97,40.6
62627,0.48,0.97,42.9
62628,0.46,0.98,41.8
62629,0.49,0.94,35.5
62630,0.51,1.00,34.1
62631,0.58,1.00,36.5
62633,0.54,1.00,48.8
62634,0.50,0.89,43.2
62635,0.51,0.94,46.9
62638,0.54,0.99,40.6
62639,0.49,1.00,47.1
62640,0.48,0.97,42.5
62642,0.54,1.00,41.6
62643,0.52,0.91,33.7
62644,0.48,0.97,44.4
62649,0.53,0.99,34.6
62650,0.51,0.89,40.1
62655,0.50,1.00,44.2
62656,0.52,0.74,37.8
62661,0.49,0.95,44
62663,0.47,0.99,48.2
62664,0.47,0.96,46.2
62665,0.50,0.97,46.7
62666,0.49,0.95,45.8
62667,0.44,0.99,49.3
62668,0.53,1.00,47.4
62670,0.49,0.99,38.1
62671,0.47,0.97,49.1
62672,0.51,0.94,48.5
62673,0.48,0.94,31.9
62674,0.49,0.97,51.4
62675,0.49,0.97,48.2
62677,0.51,0.98,42.4
62681,0.54,0.93,44
62682,0.55,0.90,39.3
62684,0.47,0.98,42.4
62685,0.51,0.93,45.8
62688,0.47,0.97,38.8
62689,0.54,0.97,43.2
62690,0.51,1.00,36.4
62691,0.51,0.95,49.4
62692,0.49,0.99,40.2
62693,0.50,0.97,38.4
62694,0.47,0.99,47.1
62695,0.46,0.96,42.1
62701,0.66,0.72,38.3
62702,0.48,0.79,40
62703,0.46,0.57,32.6
62704,0.48,0.80,40.6
62707,0.50,0.94,45.8
62711,0.47,0.90,46.3
62712,0.50,0.93,40.8
62801,0.52,0.86,41.8
62803,0.51,0.88,32.6
62806,0.50,0.97,39.9
62807,0.52,0.99,41.7
62808,0.50,0.97,36.7
62809,0.55,1.00,60.5
62810,0.51,1.00,35.5
62811,0.51,1.00,50.3
62812,0.48,0.98,42
62814,0.47,0.96,39.7
62815,0.39,0.99,46.4
62816,0.53,0.98,45.5
62817,0.45,0.99,54.1
62818,0.56,0.97,54.4
62819,0.48,1.00,41.9
62820,0.52,1.00,52
62821,0.49,0.98,45.8
62822,0.48,0.99,41.9
62823,0.48,0.99,50
62824,0.52,1.00,40.1
62825,0.58,1.00,42.9
62827,0.49,0.96,41.9
62828,0.46,1.00,45.5
62829,0.61,1.00,22.6
62830,0.51,0.97,39.3
62831,0.53,0.96,52.4
62832,0.48,0.91,41.6
62833,0.52,1.00,46.3
62835,0.50,1.00,41.8
62836,0.51,0.99,35.4
62837,0.49,0.96,43.9
62838,0.53,0.99,34.4
62839,0.46,0.96,42.1
62841,0.51,0.79,26.8
62842,0.49,0.99,44.7
62843,0.57,1.00,31.6
62844,0.47,0.98,48.5
62846,0.85,0.64,35.7
62848,0.48,0.99,36.8
62849,0.49,0.95,42
62850,0.52,1.00,31.8
62851,0.57,0.99,41.7
62852,0.51,0.94,49.3
62853,0.49,0.98,47
62854,0.54,0.99,35.8
62856,0.46,1.00,54.8
62858,0.51,0.98,44.2
62859,0.50,1.00,42.3
62860,0.48,1.00,42.6
62861,0.52,1.00,55.5
62862,0.55,0.98,46.6
62863,0.49,0.96,44.1
62864,0.48,0.86,42.2
62865,0.50,0.99,49.1
62867,0.41,0.95,46.9
62868,0.56,0.97,46.3
62869,0.48,1.00,39.4
62870,0.49,0.97,43.2
62871,0.52,0.96,45.5
62872,0.48,1.00,39
62874,0.46,0.98,43.8
62875,0.52,0.96,43
62876,0.43,0.99,49.4
62877,0.51,0.97,48.7
62878,0.39,1.00,49.5
62879,0.54,1.00,51.5
62880,0.53,0.99,46.1
62881,0.48,0.97,41.4
62882,0.50,0.98,39.5
62883,0.58,1.00,47.6
62884,0.52,0.95,43.9
62885,0.50,0.99,37
62886,0.48,1.00,33.4
62887,0.39,0.99,35.5
62888,0.54,0.99,47.3
62889,0.51,0.97,40.1
62890,0.52,0.97,37.5
62891,0.55,0.97,48.7
62892,0.41,0.96,33
62893,0.48,0.99,44.7
62894,0.50,1.00,40
62895,0.51,0.99,38.8
62896,0.50,0.97,41.5
62897,0.54,1.00,48.5
62898,0.50,0.93,40.6
62899,0.54,0.99,40.3
62901,0.52,0.64,24.3
62902,0.48,0.80,35.8
62903,0.48,0.75,24
62905,0.49,0.96,47.2
62906,0.50,0.96,46.7
62907,0.52,1.00,47.6
62908,0.51,0.99,48.3
62910,0.43,0.83,50.4
62912,0.50,0.93,39.4
62914,0.43,0.33,37.9
62915,0.49,1.00,33.9
62916,0.52,1.00,36.4
62917,0.49,0.83,48.3
62918,0.48,0.94,35.1
62919,0.51,0.91,44.7
62920,0.47,0.86,39.6
62921,0.45,0.42,37.5
62922,0.51,0.98,48.2
62923,0.48,0.99,42.4
62924,0.50,0.88,37.2
62926,0.52,0.98,34.7
62927,0.48,0.99,42.2
62928,0.37,1.00,50.8
62930,0.49,0.97,40.1
62931,0.51,0.99,49.6
62932,0.50,0.96,41.4
62933,0.47,0.97,47.3
62934,0.48,0.96,41.8
62935,0.49,0.98,50.3
62938,0.54,0.91,47.8
62939,0.48,0.98,44.3
62940,0.53,1.00,40.7
62941,0.43,0.97,36.5
62942,0.50,0.98,55.6
62943,0.56,1.00,51
62946,0.48,0.93,41.7
62947,0.48,1.00,58.8
62948,0.49,0.96,39
62949,0.51,0.96,47.4
62950,0.56,1.00,35.1
62951,0.48,0.95,39.7
62952,0.52,0.97,45.1
62953,0.50,0.83,35.8
62954,0.45,0.97,52.7
62956,0.45,0.96,43.9
62957,0.48,0.97,40
62958,0.52,0.88,43.6
62959,0.51,0.89,43.5
62960,0.49,0.92,40.7
62961,0.36,1.00,52.3
62962,0.47,1.00,43.3
62963,0.48,0.53,30.8
62964,0.51,0.36,42.8
62965,0.43,1.00,49.3
62966,0.48,0.89,41.3
62967,0.51,0.99,47.7
62969,0.54,1.00,53
62970,0.50,0.83,39.8
62972,0.48,1.00,50.2
62974,0.48,0.99,47.6
62975,0.60,1.00,36.6
62976,0.58,0.38,51.4
62977,0.56,1.00,47.2
62979,0.48,0.96,49.3
62982,0.53,0.98,40.7
62983,0.49,0.98,44.9
62984,0.47,0.98,40.8
62985,0.52,0.92,52.2
62987,0.50,0.96,40.7
62988,0.60,0.67,39.6
62990,0.48,0.84,35
62992,0.49,0.68,54.3
62994,0.51,0.99,44.4
62995,0.67,0.79,41
62996,0.50,0.79,53.2
62997,0.42,0.99,38.9
62998,0.53,1.00,59.1
62999,0.51,0.99,37.7
63673,0.54,0.97,44
